구,강도,살인,성범죄,절도,폭력,강도검거율,살인검거율,성범죄검거율,절도검거율,폭력검거율,범죄평균,검거평균
강남구,1.0,0.38461538461538464,1.0,1.0,1.0,100.0,100.0,80.04,53.47,88.13,0.876923076923077,84.328
강동구,0.358974358974359,0.3076923076923077,0.31007751937984496,0.488988012266518,0.632183908045977,92.86,100.0,95.0,51.43,87.0,0.4195832212718013,85.25800000000001
강북구,0.1282051282051282,0.5384615384615384,0.42054263565891475,0.34067465848898804,0.6941529235382309,80.0,85.71,73.27,54.99,89.34,0.42440737687056007,76.66199999999999
강서구,0.2564102564102564,0.6923076923076923,0.5329457364341085,0.544187343183719,0.800599700149925,100.0,100.0,86.91,54.82,86.39,0.5652901456971401,85.624
관악구,0.3076923076923077,0.46153846153846156,0.624031007751938,0.5862838026205743,0.8083458270864567,83.33,100.0,81.99,44.56,83.68,0.5575782813379477,78.712
광진구,0.28205128205128205,0.3076923076923077,0.5406976744186046,0.734875940897686,0.5977011494252874,54.55,100.0,83.87,40.1,84.07,0.49260367089703355,72.518
구로구,0.2564102564102564,0.6923076923076923,0.5290697674418605,0.5324783942012824,0.7906046976511744,100.0,100.0,66.3,45.08,84.7,0.5601741616024531,79.216
금천구,0.1794871794871795,0.46153846153846156,0.3391472868217054,0.3523836074714246,0.547976011994003,100.0,100.0,81.71,51.74,88.74,0.37610650946255486,84.438
노원구,0.15384615384615385,0.38461538461538464,0.3081395348837209,0.5177028157234458,0.6286856571714143,100.0,100.0,89.31,39.85,84.42,0.39859790924802396,82.71600000000001
도봉구,0.1282051282051282,0.23076923076923078,0.23837209302325582,0.24142737663785893,0.3600699650174913,100.0,100.0,98.37,56.81,90.84,0.239768758730593,89.204
동대문구,0.2564102564102564,0.38461538461538464,0.3682170542635659,0.5408419291887371,0.6601699150424788,100.0,100.0,83.16,55.21,89.97,0.4420509079040846,85.66799999999998
동작구,0.1794871794871795,0.6153846153846154,0.6298449612403101,0.3417897964873153,0.41504247876061967,100.0,75.0,45.85,45.19,86.94,0.436309806272008,70.59599999999999
마포구,0.10256410256410256,0.3076923076923077,0.7732558139534884,0.7044884304432674,0.7343828085957022,100.0,100.0,80.2,37.2,85.06,0.5244766926497736,80.49199999999999
서대문구,0.1282051282051282,0.46153846153846156,0.3391472868217054,0.41901310287148036,0.49375312343828087,80.0,100.0,84.0,50.03,83.2,0.3683314205750113,79.446
서초구,0.3333333333333333,0.38461538461538464,0.8294573643410853,0.6147198215779203,0.584207896051974,76.92,100.0,63.32,50.2,86.78,0.5492667599839395,75.444
성동구,0.07692307692307693,0.3076923076923077,0.20155038759689922,0.36130471145804294,0.4045477261369315,100.0,100.0,75.0,69.14,86.97,0.2704036419614516,86.22200000000001
성북구,0.20512820512820512,0.3076923076923077,0.29844961240310075,0.4098132143852802,0.526736631684158,100.0,75.0,75.97,49.32,86.29,0.3495639942586103,77.316
송파구,0.38461538461538464,0.6923076923076923,0.45348837209302323,0.7089489824365766,0.8218390804597702,80.0,88.89,78.63,41.21,85.38,0.6122399023824894,74.82199999999999
양천구,0.1794871794871795,0.38461538461538464,0.25387596899224807,0.47923055478115417,0.5622188905547226,100.0,100.0,82.44,43.92,85.24,0.3718855956861378,82.32000000000001
영등포구,0.48717948717948717,1.0,0.689922480620155,0.6526345135210482,0.8978010994502749,73.68,100.0,63.2,40.15,83.69,0.7455075161541931,72.14399999999999
용산구,0.23076923076923078,0.3076923076923077,0.48643410852713176,0.4151101198773348,0.5957021489255372,100.0,100.0,85.26,40.23,84.23,0.4071415831583085,81.944
은평구,0.23076923076923078,0.46153846153846156,0.3023255813953488,0.46445497630331756,0.6656671664167916,77.78,100.0,91.03,53.42,86.64,0.42495108328463005,81.774
종로구,0.3076923076923077,0.46153846153846156,0.46124031007751937,0.5408419291887371,0.5654672663668165,75.0,33.33,74.37,39.59,87.36,0.4673560549727685,61.92999999999999
중구,0.20512820512820512,0.23076923076923078,0.38372093023255816,0.59938667410092,0.5559720139930034,87.5,100.0,74.75,42.51,89.71,0.39499541084478346,78.89399999999999
중랑구,0.358974358974359,0.6153846153846154,0.3178294573643411,0.47142458879286314,0.7906046976511744,100.0,87.5,91.46,62.21,85.71,0.5108435436334706,85.37599999999999
