,시즌,회차,상영일,평점
0,S1,E0 ,"May 1, 2006",6.5
1,S1,E1 ,"September 24, 2007",8.2
2,S1,E2 ,"October 1, 2007",8.2
3,S1,E3 ,"October 8, 2007",7.6
4,S1,E4 ,"October 15, 2007",8.0
5,S1,E5 ,"October 22, 2007",7.9
6,S1,E6 ,"October 29, 2007",8.3
7,S1,E7 ,"November 5, 2007",8.1
8,S1,E8 ,"November 12, 2007",8.2
9,S1,E9 ,"March 17, 2008",8.0
10,S1,E10 ,"March 24, 2008",8.0
11,S1,E11 ,"March 31, 2008",8.2
12,S1,E12 ,"April 14, 2008",7.8
13,S1,E13 ,"April 21, 2008",8.2
14,S1,E14 ,"April 28, 2008",8.0
15,S1,E15 ,"May 5, 2008",8.2
16,S1,E16 ,"May 12, 2008",8.3
17,S1,E17 ,"May 19, 2008",8.5
18,S2,E1 ,"September 22, 2008",8.2
19,S2,E2 ,"September 29, 2008",8.0
20,S2,E3 ,"October 6, 2008",8.7
21,S2,E4 ,"October 13, 2008",7.9
22,S2,E5 ,"October 20, 2008",8.3
23,S2,E6 ,"November 3, 2008",8.2
24,S2,E7 ,"November 10, 2008",8.6
25,S2,E8 ,"November 17, 2008",8.0
26,S2,E9 ,"November 24, 2008",8.1
27,S2,E10 ,"December 8, 2008",7.7
28,S2,E11 ,"December 15, 2008",9.1
29,S2,E12 ,"January 12, 2009",7.9
30,S2,E13 ,"January 19, 2009",7.9
31,S2,E14 ,"February 2, 2009",8.0
32,S2,E15 ,"February 9, 2009",8.8
33,S2,E16 ,"March 2, 2009",8.1
34,S2,E17 ,"March 9, 2009",8.1
35,S2,E18 ,"March 16, 2009",8.1
36,S2,E19 ,"March 30, 2009",8.1
37,S2,E20 ,"April 13, 2009",7.9
38,S2,E21 ,"April 27, 2009",8.5
39,S2,E22 ,"May 4, 2009",8.1
40,S2,E23 ,"May 11, 2009",8.2
41,S3,E1 ,"September 21, 2009",8.3
42,S3,E2 ,"September 28, 2009",7.8
43,S3,E3 ,"October 5, 2009",8.1
44,S3,E4 ,"October 12, 2009",8.0
45,S3,E5 ,"October 19, 2009",8.3
46,S3,E6 ,"November 2, 2009",7.4
47,S3,E7 ,"November 9, 2009",7.8
48,S3,E8 ,"November 16, 2009",8.9
49,S3,E9 ,"November 23, 2009",8.3
50,S3,E10 ,"December 7, 2009",8.4
51,S3,E11 ,"December 14, 2009",8.3
52,S3,E12 ,"January 11, 2010",8.3
53,S3,E13 ,"January 18, 2010",8.0
54,S3,E14 ,"February 1, 2010",8.4
55,S3,E15 ,"February 8, 2010",8.0
56,S3,E16 ,"March 1, 2010",8.2
57,S3,E17 ,"March 8, 2010",8.4
58,S3,E18 ,"March 22, 2010",8.4
59,S3,E19 ,"April 12, 2010",7.8
60,S3,E20 ,"May 3, 2010",8.1
61,S3,E21 ,"May 10, 2010",8.1
62,S3,E22 ,"May 17, 2010",9.0
63,S3,E23 ,"May 24, 2010",8.6
64,S4,E1 ,"September 23, 2010",8.7
65,S4,E2 ,"September 30, 2010",8.3
66,S4,E3 ,"October 7, 2010",7.9
67,S4,E4 ,"October 14, 2010",8.0
68,S4,E5 ,"October 21, 2010",7.7
69,S4,E6 ,"October 28, 2010",8.0
70,S4,E7 ,"November 4, 2010",8.0
71,S4,E8 ,"November 11, 2010",8.1
72,S4,E9 ,"November 18, 2010",8.4
73,S4,E10 ,"December 9, 2010",7.6
74,S4,E11 ,"December 16, 2010",8.7
75,S4,E12 ,"January 6, 2011",7.6
76,S4,E13 ,"January 20, 2011",8.2
77,S4,E14 ,"February 3, 2011",7.7
78,S4,E15 ,"February 10, 2011",7.7
79,S4,E16 ,"February 17, 2011",7.8
80,S4,E17 ,"February 24, 2011",7.9
81,S4,E18 ,"March 10, 2011",8.1
82,S4,E19 ,"March 31, 2011",8.0
83,S4,E20 ,"April 7, 2011",8.2
84,S4,E21 ,"April 28, 2011",8.2
85,S4,E22 ,"May 5, 2011",7.8
86,S4,E23 ,"May 12, 2011",8.0
87,S4,E24 ,"May 19, 2011",8.5
88,S5,E1 ,"September 22, 2011",8.0
89,S5,E2 ,"September 22, 2011",8.0
90,S5,E3 ,"September 29, 2011",7.7
91,S5,E4 ,"October 6, 2011",7.8
92,S5,E5 ,"October 13, 2011",8.0
93,S5,E6 ,"October 20, 2011",7.5
94,S5,E7 ,"October 27, 2011",8.5
95,S5,E8 ,"November 3, 2011",7.6
