,date,title,point
0,2023-07-12,뮤지컬 〈오페라의 유령〉 - 서울,39.3
1,2023-07-12,2023 신영숙 콘서트 ＇ 친절한 영숙씨＇,5.4
2,2023-07-12,뮤지컬 〈멤피스〉,4.3
3,2023-07-12,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한,4.0
4,2023-07-12,뮤지컬 〈이토록 보통의〉,3.9
5,2023-07-12,뮤지컬 〈그날들〉 10주년 기념 공연,3.8
6,2023-07-12,뮤지컬 〈모차르트!〉,3.2
7,2023-07-12,뮤지컬 〈더 테일 에이프릴 풀스〉,2.6
8,2023-07-12,"뮤지컬 〈스웨그에이지 외쳐,조선!〉",2.3
9,2023-07-12,태양의서커스 〈루치아〉,2.2
10,2023-07-12,뮤지컬 〈보이A〉,2.2
11,2023-07-12,뮤지컬 〈오즈〉,1.6
12,2023-07-12,뮤지컬 〈곤 투모로우〉,1.5
13,2023-07-12,뮤지컬 〈베르나르다 알바〉,1.5
14,2023-07-12,뮤지컬 〈라흐 헤스트〉,1.5
15,2023-07-12,뮤지컬 데스노트 (The Musical Death Note) - 대구,1.4
16,2023-07-12,뮤지컬 〈프리다〉,1.4
17,2023-07-12,뮤지컬 〈레베카〉 10주년 기념공연,1.4
18,2023-07-12,뮤지컬 〈빨래〉,1.4
19,2023-07-12,뮤지컬 〈와일드 그레이〉,1.2
20,2023-07-12,베리어프리 뮤지멀 〈헬렌앤미〉 - 평택,1.1
21,2023-07-12,뮤지컬 〈전설의 리틀 농구단〉 - 안양,1.0
22,2023-07-12,와일드 와일드 〈드림〉,1.0
23,2023-07-12,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한 - 대구,0.7
24,2023-07-12,쇼뮤지컬 〈드림하이〉,0.7
25,2023-07-12,뮤지컬 데스노트 (The Musical Death Note) - 부산,0.7
26,2023-07-12,뮤지컬 〈쿠로이 저택엔 누가 살고 있을까？〉,0.4
27,2023-07-12,뮤지컬 〈트레이스 유〉,0.4
28,2023-07-12,뮤지컬 〈비스티〉,0.4
29,2023-07-12,뮤지컬 〈더 픽션〉,0.4
30,2023-07-12,난타(NANTA) - 명동공연,0.4
31,2023-07-12,뮤지컬 〈할란카운티〉,0.3
32,2023-07-12,뮤지컬 〈맘마미아!〉 - 익산,0.3
33,2023-07-12,써니텐,0.3
34,2023-07-12,뮤지컬 〈트레드밀〉,0.3
35,2023-07-12,"뮤지컬 〈다시, 동물원〉",0.3
36,2023-07-12,뮤지컬 〈멸화군〉,0.3
37,2023-07-12,뮤지컬 〈맘마미아!〉 - 창원,0.3
38,2023-07-12,하트시그널,0.3
39,2023-07-12,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한 - 부산,0.3
40,2023-07-12,"뮤지컬 〈알로하, 나의 엄마들〉",0.3
41,2023-07-12,2023 최현우 Answer,0.2
42,2023-07-12,뮤지컬 〈파리넬리〉 - 군포,0.2
43,2023-07-12,뮤지컬 〈맘마미아!〉 - 용인,0.2
44,2023-07-12,뮤지컬 허풍선이 과학쇼 장영실vs 에디슨 - 오산,0.2
45,2023-07-12,뮤지컬 〈빨래〉 - 용인,0.2
46,2023-07-12,뮤지컬 〈맘마미아!〉 - 청주,0.2
47,2023-07-12,2023 최현우 Answer - 수원,0.2
48,2023-07-12,파리넬리 - 공주,0.1
49,2023-07-12,뮤지컬 〈맘마미아!〉 - 세종,0.1
50,2023-07-13,뮤지컬 〈오페라의 유령〉 - 서울,14.7
51,2023-07-13,뮤지컬 〈구텐버그〉,13.5
52,2023-07-13,뮤지컬 〈트레드밀〉,7.8
53,2023-07-13,뮤지컬 〈멤피스〉,5.7
54,2023-07-13,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한,5.6
55,2023-07-13,뮤지컬 〈그날들〉 10주년 기념 공연,5.5
56,2023-07-13,뮤지컬 〈모차르트!〉,3.6
57,2023-07-13,뮤지컬 〈이토록 보통의〉,3.1
58,2023-07-13,태양의서커스 〈루치아〉,2.8
59,2023-07-13,2023 신영숙 콘서트 ＇ 친절한 영숙씨＇,2.6
60,2023-07-13,뮤지컬 〈더 테일 에이프릴 풀스〉,2.6
61,2023-07-13,뮤지컬 데스노트 (The Musical Death Note) - 대구,2.2
62,2023-07-13,뮤지컬 〈빨래〉,1.8
63,2023-07-13,뮤지컬 〈프리다〉,1.7
64,2023-07-13,뮤지컬 〈레베카〉 10주년 기념공연,1.6
65,2023-07-13,뮤지컬 〈라흐 헤스트〉,1.5
66,2023-07-13,"뮤지컬 〈스웨그에이지 외쳐,조선!〉",1.5
67,2023-07-13,뮤지컬 〈보이A〉,1.4
68,2023-07-13,뮤지컬 〈베르나르다 알바〉,1.4
69,2023-07-13,뮤지컬 〈오즈〉,1.4
70,2023-07-13,뮤지컬 〈와일드 그레이〉,1.2
71,2023-07-13,뮤지컬 〈곤 투모로우〉,1.0
72,2023-07-13,와일드 와일드 〈드림〉,1.0
73,2023-07-13,뮤지컬 〈전설의 리틀 농구단〉 - 안양,1.0
74,2023-07-13,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한 - 대구,0.9
75,2023-07-13,뮤지컬 데스노트 (The Musical Death Note) - 부산,0.9
76,2023-07-13,쇼뮤지컬 〈드림하이〉,0.9
77,2023-07-13,뮤지컬 〈쿠로이 저택엔 누가 살고 있을까？〉,0.8
78,2023-07-13,뮤지컬 〈비스티〉,0.7
79,2023-07-13,뮤지컬 〈멸화군〉,0.6
80,2023-07-13,뮤지컬 〈할란카운티〉,0.6
81,2023-07-13,뮤지컬 〈더 픽션〉,0.6
82,2023-07-13,베리어프리 뮤지컬 〈헬렌앤미〉 - 평택,0.5
83,2023-07-13,2023 최현우 Answer,0.5
84,2023-07-13,뮤지컬 〈맘마미아!〉 - 창원,0.4
85,2023-07-13,뮤지컬 〈트레이스 유〉,0.4
86,2023-07-13,"뮤지컬 〈다시, 동물원〉",0.4
87,2023-07-13,뮤지컬 〈맘마미아!〉 - 익산,0.4
88,2023-07-13,난타(NANTA) - 명동공연,0.3
89,2023-07-13,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한 - 부산,0.3
90,2023-07-13,뮤지컬 〈맘마미아!〉 - 청주,0.3
91,2023-07-13,파리넬리 - 공주,0.3
92,2023-07-13,뮤지컬 〈맘마미아!〉 - 용인,0.3
93,2023-07-13,뮤지컬 〈백작〉,0.3
94,2023-07-13,뮤지컬 〈파리넬리〉 - 군포,0.3
95,2023-07-13,뮤지컬 〈김종욱 찾기〉,0.2
96,2023-07-13,〈섹시동안클럽〉 CONCERT - 납량특집,0.2
97,2023-07-13,뮤지컬 〈빨래〉 - 용인,0.2
98,2023-07-13,뮤지컬 〈맘마미아!〉 - 세종,0.1
99,2023-07-13,"뮤지컬 〈알로하, 나의 엄마들〉",0.1
100,2023-07-14,뮤지컬 〈오페라의 유령〉 - 서울,16.6
101,2023-07-14,뮤지컬 〈라흐 헤스트〉,11.5
102,2023-07-14,뮤지컬 파리넬리 - 수원,6.7
103,2023-07-14,뮤지컬 〈오즈〉,5.7
104,2023-07-14,뮤지컬 〈멤피스〉,5.0
105,2023-07-14,뮤지컬 〈그날들〉 10주년 기념 공연,4.8
106,2023-07-14,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한,4.7
107,2023-07-14,뮤지컬 〈모차르트!〉,3.9
108,2023-07-14,"뮤지컬 〈스웨그에이지 외쳐,조선!〉",3.2
109,2023-07-14,태양의서커스 〈루치아〉,2.6
110,2023-07-14,뮤지컬 〈트레드밀〉,2.4
111,2023-07-14,뮤지컬 〈빨래〉,2.4
112,2023-07-14,뮤지컬 〈레베카〉 10주년 기념공연,1.8
113,2023-07-14,2023 신영숙 콘서트 ＇ 친절한 영숙씨＇,1.8
114,2023-07-14,뮤지컬 〈이토록 보통의〉,1.7
115,2023-07-14,뮤지컬 데스노트 (The Musical Death Note) - 대구,1.7
116,2023-07-14,뮤지컬 〈베르나르다 알바〉,1.5
117,2023-07-14,뮤지컬 〈더 테일 에이프릴 풀스〉,1.5
118,2023-07-14,뮤지컬 〈트레이스 유〉,1.5
