회사이름,위치,위도,경도,규모,상장여부,로봇 유형,부분별,수상,,설립일,부지 선정 이유
㈜티라로보틱스,"경기 성남시 중남구 둔촌대로 388 상대원동, 크란츠테크노 304호",37.4327078,127.1593843,중소기업,비상장,AMR,전문 서비스 로봇,이번에 처음 2022 올해의 대한민국 로봇 기업에 선정되었다.,,2022,
(주)유진로봇,"인천 연수구 하모니로 187번길 33 송도동, (주)유진로봇",37.3779695,126.6436372,중견기업,상장,AMR,개인 서비스 로봇,"2020 아이클레보 대한민국 고객만족지수 1위(한국프리미엄브랜드진흥원),  2020 청소로봇 10년 연속 세계일류상품 선정(산업통산자원부), 2021 인천에서 가장 아름다운 공장 어워드(인천광역시), 2016~2022 7년 연속 유일하게 올해의 대한민국 로봇기업에 선정",,1988,서비스 로봇 연구 및 제조시설 확대 연구소는 금천구 가산동도 있지만 분산된 시설을 통합해서 시너지를 창출하고 연구 및 제조시설 등 사업규모 확대를 통한 미래성장 발판을 마련하고자 함
(주)트위니,대전광역시 유성구 가정북로 90,36.353984,127.341132,중소기업,비상장,AMR,전문 서비스 로봇,"중소벤처기업부, 2023 로봇 분야 초격차 스타트업 육성 위해 10개 사와 간담회 참여기업, 올해의 대한민국 로봇기업 2020~2022 3년연속 수상",,2015,
엑스와이지,"서울 성동구 아차산로17길 48, 401호",37.5482232,127.0459924,벤처기업,비상장,"delivery,coffee",전문 서비스 로봇,"2020 레드닷 디자인 어워드, 2022 아기유니콘 선정, 2022 도시혁신대상 경기도지사상을 수상했으며, 2021~2022 2년 연속 올해의 대한민국 로봇 기업에 선정되었다.",,2019,
텔레웍스,서울 금천구 가산디지털1로 168 가산동 우림라이온스벨리 A동 1212호,37.4799048,126.8824813,중소기업,비상장,"IoT,network",,,,1994,
가온그룹(주),경기 성남시 분당구 성남대로 884-3 야탑동 가온그룹,37.4087765,127.1292588,중견기업,상장,"AMR,serving, guide",,,,2001,
(주)로보스타,경기 안산시 상록수 수인로 700 사사동 로보스타,37.2954888197085,126.929454119708,대기업,상장,industrial,,,LG산전 로봇사업부에서 분리후 설립 산업용 로봇 사업 주력 2018년 7월 LG 전자 인수,1999,
㈔대덕이노폴리스벤처협회,"대전 유성구 가정로 218 가정동 ,한국전자통신연구원 융합기술연구생산센터 705호,706호",36.415674,127.4150864,벤처기업,비상장,"industrial, healthcare",,,,1996,
㈜에스티앤아이,대구 수성구 알파시티1로40길 14 어반스케어알파 202호,35.836944,128.68306,중소기업,비상장,CAD SW,,,,2019,
에이지로보틱스,경남 창원시 의창구 평산로 23 팔용동 신화테크노밸리 320호,35.2463175,128.5112576,중소기업,비상장,farm,,,과수 재배 농업용 지원 로봇,2019,
(주)에스와이에스홀딩스,서울 용산구 청파로 74 한강로3가 전자랜드,37.3894673,127.0914579,중견기업,비상장,unknown,,,,2001,
