,Unnamed: 0,회사이름,급여,경력,학력,스킬,채용 포지션,담당업무,지원자격,우대사항
0,0,㈜티라로보틱스,회사 내규에 따름,무관,초대졸 이상,"C/C++, Python, Linux, ROS",로봇 필드 엔지니어,"로봇 설치
주행환경 map, 경로 설계/구축
현장 시나리오 설계/구축
고객 교육
유지보수, 점검, 이슈조치","Python 초급 이상, Linux 가능자
현장 의사소통 역량 보유자 
운전가능자
기계공학, 전기 및 전자공학, 컴퓨터 공학 등 관련 학과 전공자","자동화 설비, 로봇 설치/운영/수리 경력
Linux, DOCKER 경력
로봇을 좋아하는 엔지니어"
1,1,㈜티라로보틱스,회사 내규에 따름,무관,초대졸 이상,"C/C++, Python, Linux, ROS",로봇 미들웨어 sw 개발,"로봇 미들웨어 sw개발
ROS 기반 제어 프로그램 개발
시나리오 task unit개발
로봇 시스템 프로그램
구동제어, 센서 장치 드라이버 개발
리눅스 시스템 관리","C/C++ 또는 Python 중급 이상
리눅스 시스템에 대한 이해 및 프로그램 개발 경력
기계, 컴퓨터, 로봇, 소프트웨어 공학 등 관련 학과 전공자","로보틱스 분야에 대한 이해 및 개발 경력
ROS/ROS2 개발 경력
통신 인터페이스 개발 경력"
2,2,㈜티라로보틱스,회사 내규에 따름,무관,초대졸 이상,"C/C++, Python, Linux, ROS",자율 주행 엔진 개발,"경로 생성 알고리즘 개발
모션 제어
object(사람, 사물, 로봇 및 그 외 정지 및 이동체)의 인지 및 추적","로보틱스 기술분야에 대한 이해 및 개발경험.
C/C++ & Python 중급이상.
ROS 또는 ROS2 사용 가능
기계, 컴퓨터, 로봇, 소프트웨어 공학 등 관련 학과 전공자","CUDA 프로그래밍 개발 경력
실내외 자율주행 개발 프로젝트 수행 경력 경력 2년 이상"
3,3,(주)유진로봇,회사 내규에 따름,8년 이상,석사 이상,"C/C++, Keras, Pytorch, Tensorflow, Ai, caffe, theano",청소로봇개발사업부 AI 엔지니어,"Computer Vision, Sound를 통한 Human/ Object Recognition Algorithm 분석 및 설계
AI 기능을 적용한 application 개발","인공지능 또는 관련학과 석사 이상
C/C++언어의 능숙한 사용(필수)
Image/Sound Classification 구현 경험
데이터 분석 툴 사용
-Machine Leaming 최신 논문 이해 및 설계 가능
Machine Leaming Framework 개발 유경험자(tensorflow, caffe, theano, pytorch, keras 등)","Machine Learning 관련 상용 제품 개발 경험자
Mobile platform 제어 유경험자
AI 기능에 대한 application level 개발 유경험자
영어로 기술 업무(Written & Spoken) 진행 가능한자"
4,4,(주)트위니,회사 내규에 따름,무관,무관,"HMI, Linux, 어셈블리",자율주행 로봇 S/W 개발자,"자율주행 로봇 알고리즘 개발(SLAM, 모션플래닝, 제어, 인지AI)","
공학계열학위 or 공학계열 지식","신호처리, 알고리즘, 컴퓨터, 로봇관련 분야 석사 이상 학위 보유자
모션플래닝, 컨트롤, 환경 인식 등 자율주행 로봇 관련 연구/실무 경험자
ROS 이용 경험
자율주행 로봇에 관심이 있으신 분"
5,5,엑스와이지,회사 내규에 따름,3년 이상,석사 이상,"C/C++, Python, Computer Vision, Image Processing, Machine Learning",AI로봇 비전 개발자,"XYZ의 비전 기반 Object Detection/Recognition 파트 개발
로봇 카페 Pickup zone 인식 알고리즘 개발
비전 기반 로봇 주변 환경 인식 (Top-down camera view, Gripper-mounted camera view)
비전 기반 로봇-사용자 상호작용 개발 (Human Robot Interaction)
2D/3D Detection, Tracking, Recognition, Reidentification, Mapping 알고리즘 연구 및 개발
인공지능 학습을 위한 비전 데이터 파이프라인 설계 및 구현","C/C++ 및 Python 기반 알고리즘 개발 경력 3년 이상
관련 분야의 석사 이상 학위를 보유하신 분
Computer vision, Image processing, Machine learning 등 관련 기술에 대한 전반적인 이해가 있으신 분
Linux, Git 기반의 개발 및 협업 경험이 있으신 분
다양한 직군의 구성원들과 협업하여 프로젝트를 이끌수 있는 역량을 갖추신 분","로봇공학, 컴퓨터공학, 전자공학, 기계공학 등 로보틱스 관련 분야의 석사/박사 학위를 보유하신 분
관련 분야의 개발 경력 5년 이상 혹은 그에 준하는 실력을 갖추신 분
관련 논문이나 기술 관련 문서를 이해하고 이를 바탕으로 구현이 가능하신 분
Machine Learning Framework 개발 경험자 (Tensorflow, Caffe, Theano, PyTorch, Keras 등)
Noise Robust, Occlusion, Data Imbalanced Problem에 관한 이해가 있으신 분
영어로 기술 업무(Written & Spoken) 진행 가능한 자
ROS/ROS2 기반 개발 경험이 있으신 분
ROS를 활용하여 Movelt Pacakge를 활용한 경험이 있으신 분
MuJoCo, IsaaC Sim 등 DynamiC simulator를 다뤄본 경험이 있으신 분"
6,6,텔레웍스,회사 내규에 따름,9년 이상,초대졸 이상,"Android,C/C++,Linux",로봇(안내/배송/물류 로봇 등) System 소프트웨어 개발,"Battery BMS 제어 / 충전, 방전 SW 개발 / 시스템
동작 모드별 소모 전류 최적화","학력 : 초대졸 이상
경력 : 경력9년 이상",NaN
7,7,가온그룹(주),회사 내규에 따름,무관,초대졸 이상,"Python,ROS,SLAM,알고리즘,Localization",로봇사업 부문,로봇 ROS 개발,"경력 : 무관
ROS(ROS1,2)에 대한 지식 또는 개발 유경험자
로봇의 구성과 제어에 대한 지식 또는 경험을 보유한 자","SLAM 및 네비게이션 개발 경험 보유자(알고리즘)
양산 개발 경험자"
8,8,(주)로보스타,회사 내규에 따름,3년 이상,대졸 이상,"C/C++, Linux",ROBOT SW 개발,"담당업무 로봇제어기 어플리케이션 개발
티칭펜던트 기능 추가 개발","학력 : 대졸 이상 (4년)
경력: 경력 3년 이상
필수 능력:
Linux 기반 C/C++ 프로그램 경험 필수
Real-time OS에 대한 전반적인 이해 필수
QT 개발 경험 및 TCP/IP 통신 프로토콜 개발 경험必","석사 이상 우대
관련 업무 경험자
Firmware 개발 업무 경험자
로봇 Hardware 회로 설계 경험자
EMC 고려한 회로 설계 경험자 -Analog 및 Digital 회로 해석 경험자 
장애인 및 국가보훈대상자"
9,9,㈔대덕이노폴리스벤처협회,회사 내규에 따름,무관,무관,NaN,로봇제어 및 기술대응,FAE/기술지원/로봇제어,"경력 : 무관
학력 : 무관","컴퓨터/시스템공학, 전기/전자/기계공학
메카트로닉스 Linux, Python 중 1개 이상 프로그래밍 유경험자
ROS/ROS2 유경험자"
